group_id,display_name,group_record_count,match_reasons,source_file,source_index,name,slug,url,meta_title,h1_titles_count,sections_count,full_text_length,section_headings
1,Achilles Tendinitis,2,slug,modified_disease.json,0,Achilles Tendinitis,achilles-tendinitis,https://www.niams.nih.gov/health-topics/achilles-tendinitis,"Achilles Tendinitis - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,2004,Introduction | What is Achilles Tendinitis? | Common Symptoms of Achilles Tendinitis | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
1,Achilles Tendinitis,2,slug,common_diseases_conditions_offline.json,9,"Achilles Tendinitis: Symptoms, Causes And Treatment",achilles-tendinitis,https://www.apollohospitals.com/diseases-and-conditions/achilles-tendinitis,"Achilles Tendinitis: Symptoms, Causes And Treatment | Apollo Hospitals",1,7,1680,None | Achilles Tendinitis Definition | Achilles Tendinitis Symptoms | Achilles Tendinitis Risk Factors | Achilles Tendinitis Diagnosis | Achilles Tendinitis Treatment | Achilles Tendinitis Medication and Surgery
2,Acne,2,slug,modified_disease.json,2,Acne,acne,https://www.niams.nih.gov/health-topics/acne,"Acne - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1888,Introduction | What is Acne? | Common Symptoms of Acne | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
2,Acne,2,slug,common_diseases_conditions_offline.json,13,"Acne – Causes, Diagnosis and Treatment",acne,https://www.apollohospitals.com/diseases-and-conditions/acne,"Acne – Causes, Diagnosis and Treatment | Apollo Hospitals",1,7,2903,None | Definition | Symptoms of Acne Treatment | Risk Factors | Diagnosis of Acne Treatment | Treatment of Acne Treatment | Adult Acne
3,Allergic Rhinitis,2,slug,modified_disease.json,3,Allergic Rhinitis,allergic-rhinitis,https://medlineplus.gov/ency/article/000813.htm,"Allergic Rhinitis - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,879,Introduction | What is Allergic Rhinitis? | Common Symptoms of Allergic Rhinitis | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
3,Allergic Rhinitis,2,slug,common_diseases_conditions_offline.json,62,Allergic Rhinitis,allergic-rhinitis,https://www.apollohospitals.com/diseases-and-conditions/allergic-rhinitis,Allergic Rhinitis | Apollo Hospitals,1,5,2336,Allergic Rhinitis Definition | Allergic Rhinitis Causes | Allergic Rhinitis Symptoms | Allergic Rhinitis Diagnosis | Allergic Rhinitis Treatment
4,Alopecia Areata,2,slug,modified_disease.json,4,Alopecia Areata,alopecia-areata,https://www.niams.nih.gov/health-topics/alopecia-areata,"Alopecia Areata - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1708,Introduction | What is Alopecia Areata? | Common Symptoms of Alopecia Areata | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
4,Alopecia Areata,2,slug,common_diseases_conditions_offline.json,66,"Alopecia Areata - Causes, Symptoms, Diagnosis, Treatment, and Prevention",alopecia-areata,https://www.apollohospitals.com/diseases-and-conditions/alopecia-areata,"Alopecia Areata - Causes, Symptoms, Diagnosis, and Treatment",2,23,14418,Introduction | Definition | Infectious/Environmental Causes | Genetic/Autoimmune Causes | Lifestyle and Dietary Factors | Key Risk Factors | Symptoms | Warning Signs | Diagnosis | Clinical Evaluation | Diagnostic Tests | Differential Diagnosis | Medical Treatments | Non-Pharmacological Treatments | Special Considerations | Complications | Short-Term Complications | Long-Term Complications | Prevention | Prognosis & Long-Term Outlook | Frequently Asked Questions (FAQs) | When to See a Doctor | Conclusion & Disclaimer
5,Ankylosing Spondylitis,2,slug,modified_disease.json,6,Ankylosing Spondylitis,ankylosing-spondylitis,https://www.niams.nih.gov/health-topics/ankylosing-spondylitis,"Ankylosing Spondylitis - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1891,Introduction | What is Ankylosing Spondylitis? | Common Symptoms of Ankylosing Spondylitis | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
5,Ankylosing Spondylitis,2,slug,common_diseases_conditions_offline.json,100,"Ankylosing Spondylitis: Types, Symptoms, Causes and Treatment",ankylosing-spondylitis,https://www.apollohospitals.com/diseases-and-conditions/ankylosing-spondylitis,"Ankylosing Spondylitis - Types, Symptoms, Causes and Treatment",1,6,2816,None | Ankylosing Spondylitis Definition | Ankylosing Spondylitis Symptoms | Ankylosing Spondylitis Risk Factors | Ankylosing Spondylitis Diagnosis | Ankylosing Spondylitis Treatment
